iter	Passed	Remaining
0	71	14135
1	126	12474
2	181	11947
3	236	11568
4	290	11324
5	345	11166
6	397	10970
7	451	10831
8	506	10747
9	563	10701
10	615	10583
11	672	10542
12	727	10459
13	780	10368
14	837	10328
15	889	10229
16	944	10165
17	998	10099
18	1052	10023
19	1109	9984
20	1157	9863
21	1206	9764
22	1263	9720
23	1318	9667
24	1378	9651
25	1433	9596
26	1488	9537
27	1545	9496
28	1602	9446
29	1660	9408
30	1716	9359
31	1773	9313
32	1830	9262
33	1882	9189
34	1928	9090
35	1981	9026
36	2037	8976
37	2105	8975
38	2164	8934
39	2225	8903
40	2285	8864
41	2341	8807
42	2395	8747
43	2452	8696
44	2499	8609
45	2559	8567
46	2634	8577
47	2694	8533
48	2756	8493
49	2815	8445
50	2864	8368
51	2919	8308
52	2981	8270
53	3038	8214
54	3092	8154
55	3150	8102
56	3200	8028
57	3256	7973
58	3311	7913
59	3366	7854
60	3423	7799
61	3477	7741
62	3527	7670
63	3587	7622
64	3633	7546
65	3680	7472
66	3738	7420
67	3796	7369
68	3842	7294
69	3895	7235
70	3948	7174
71	3994	7100
72	4052	7049
73	4098	6978
74	4157	6928
75	4203	6857
76	4254	6795
77	4311	6742
78	4357	6674
79	4402	6603
80	4447	6533
81	4505	6483
82	4552	6416
83	4602	6355
84	4657	6301
85	4708	6242
86	4761	6184
87	4817	6131
88	4867	6071
89	4913	6005
90	4960	5941
91	5004	5874
92	5056	5817
93	5101	5752
94	5149	5691
95	5198	5631
96	5245	5570
97	5299	5516
98	5349	5457
99	5395	5395
100	5445	5337
101	5491	5275
102	5539	5216
103	5587	5158
104	5634	5098
105	5684	5041
106	5731	4981
107	5790	4932
108	5835	4872
109	5892	4820
110	5936	4760
111	5995	4710
112	6042	4652
113	6094	4597
114	6142	4540
115	6189	4482
116	6238	4425
117	6285	4367
118	6342	4316
119	6392	4261
120	6437	4202
121	6484	4146
122	6532	4089
123	6580	4033
124	6628	3977
125	6678	3922
126	6724	3865
127	6783	3815
128	6827	3757
129	6873	3701
130	6923	3646
131	6969	3590
132	7015	3533
133	7073	3484
134	7125	3430
135	7171	3374
136	7239	3329
137	7288	3274
138	7336	3219
139	7385	3165
140	7435	3111
141	7486	3057
142	7543	3006
143	7594	2953
144	7647	2900
145	7728	2858
146	7787	2807
147	7839	2754
148	7894	2702
149	7948	2649
150	7995	2594
151	8047	2541
152	8103	2489
153	8158	2436
154	8209	2383
155	8259	2329
156	8320	2278
157	8379	2227
158	8437	2175
159	8487	2121
160	8531	2066
161	8588	2014
162	8634	1960
163	8682	1905
164	8729	1851
165	8777	1797
166	8825	1744
167	8874	1690
168	8932	1638
169	8981	1584
170	9029	1531
171	9076	1477
172	9124	1424
173	9172	1370
174	9221	1317
175	9269	1264
176	9317	1210
177	9364	1157
178	9411	1104
179	9458	1050
180	9507	997
181	9554	944
182	9602	892
183	9651	839
184	9700	786
185	9748	733
186	9796	681
187	9844	628
188	9896	575
189	9944	523
190	9989	470
191	10037	418
192	10084	365
193	10133	313
194	10181	261
195	10228	208
196	10277	156
197	10324	104
198	10383	52
199	10432	0
